课程号,课程,班级,教室,教师,时间
1,高级语言程序设计1,2021计科1班公费,崇师B616,范雪琴,Mon 9:00 - 11:00
2,高级语言程序设计(实),2021计科1班公费,理工一411,范雪琴,Tes 13:00 - 15:00
3,高级语言程序设计2,2021计科1班公费,崇师D502,范雪琴,Thu 15:00 - 17:00
4,计算机导论,2021计科1班公费,崇师C306,孙鹏飞,Thu 9:00 - 11:00
5,计算机导论(实),2021计科1班公费,体育楼309,孙鹏飞,Mon 15:00 - 17:00
6,高级语言程序设计1,2021计科2班行知班,崇师C103,于延,Fri 11:00 - 13:00
7,高级语言程序设计(实),2021计科2班行知班,崇师C101,于延,Mon 15:00 - 17:00
8,高级语言程序设计2,2021计科2班行知班,理工一119,于延,Mon 11:00 - 13:00
9,计算机导论,2021计科2班行知班,崇师C102,孙鹏飞,Tes 13:00 - 15:00
10,计算机导论(实),2021计科2班行知班,理工一126,孙鹏飞,Fri 13:00 - 15:00
11,高级语言程序设计1,2021计科34班,理工一117,李红宇,Thu 15:00 - 17:00
12,高级语言程序设计(实),2021计科34班,崇师B616,李红宇,Mon 15:00 - 17:00
13,高级语言程序设计2,2021计科34班,崇师C306,李红宇,Tes 9:00 - 11:00
14,计算机导论,2021计科34班,理工一117,张广玲,Thu 9:00 - 11:00
15,计算机导论(实),2021计科34班,崇师C105,张广玲,Tes 13:00 - 15:00
16,软件工程专业导论,2021软件工程12班,理工一119,付伟,Tes 9:00 - 11:00
17,软件工程专业导论(实),2021软件工程12班,理工一521,付伟,Fri 13:00 - 15:00
18,高级语言程序设计1,2021软件工程12班,体育楼211,李志聪,Tes 15:00 - 17:00
19,高级语言程序设计(实),2021软件工程12班,理工一411,李志聪,Thu 15:00 - 17:00
20,高级语言程序设计2,2021软件工程12班,理工一519,李志聪,Wed 9:00 - 11:00
21,软件工程专业导论,2021软件工程34班,崇师C101,付伟,Wed 11:00 - 13:00
22,软件工程专业导论(实),2021软件工程34班,崇师B415,付伟,Mon 15:00 - 17:00
23,高级语言程序设计1,2021软件工程34班,理工一126,李志聪,Fri 15:00 - 17:00
24,高级语言程序设计(实),2021软件工程34班,崇师C102,李志聪,Mon 9:00 - 11:00
25,高级语言程序设计2,2021软件工程34班,崇师C101,李志聪,Tes 11:00 - 13:00
26,高级语言程序设计1,2021数媒专业,崇师D502,赵微,Tes 13:00 - 15:00
27,高级语言程序设计(实),2021数媒专业,理工一117,赵微,Mon 15:00 - 17:00
28,高级语言程序设计2,2021数媒专业,理工一126,赵微,Thu 9:00 - 11:00
29,游戏概论,2021数媒专业,崇师B415,周国辉,Thu 13:00 - 15:00
30,游戏文化与鉴赏,2021数媒专业,崇师C103,赵丽,Wed 11:00 - 13:00
31,游戏文化与鉴赏(实),2021数媒专业,理工一431,赵丽,Fri 11:00 - 13:00
32,高级语言程序设计1,2021物联网工程,理工一411,姚艳雪,Thu 13:00 - 15:00
33,高级语言程序设计(实),2021物联网工程,崇师D502,姚艳雪,Fri 15:00 - 17:00
34,高级语言程序设计2,2021物联网工程,体育楼209,姚艳雪,Tes 13:00 - 15:00
35,物联网工程导论,2021物联网工程,理工一431,李世明,Wed 11:00 - 13:00
36,物联网工程导论(实),2021物联网工程,崇师C104,李世明,Tes 9:00 - 11:00
37,高级语言程序设计1,2021大数据1班,理工一123,黄玉妍,Wed 9:00 - 11:00
38,高级语言程序设计(实),2021大数据1班,理工一121,黄玉妍,Mon 15:00 - 17:00
39,高级语言程序设计2,2021大数据1班,理工一126,黄玉妍,Tes 15:00 - 17:00
40,数据结构,2020计科1班公费,理工一411,常晓娟,Fri 15:00 - 17:00
41,人工智能导论,2020计科1班公费,体育楼309,朱海龙,Thu 15:00 - 17:00
42,计算机辅助教学,2020计科1班公费,理工一519,刘玉喜,Fri 9:00 - 11:00
43,数据结构,2020计科1班公费,体育楼307,常晓娟,Tes 9:00 - 11:00
44,Python程序设计,2020计科1班公费,理工一126,贺维,Thu 11:00 - 13:00
45,web程序设计与框架应用(单)Python程序设计(双),2020计科1班公费,崇师C105,贺维,Mon 13:00 - 15:00
46,人工智能导论1-8web程序设计与框架应用9-16,2020计科1班公费,理工一431,房益龙,Wed 9:00 - 11:00
47,web程序设计,2020计科34班,理工一117,范雪琴,Fri 15:00 - 17:00
48,数据结构,2020计科34班,崇师B415,魏洪伟,Thu 15:00 - 17:00
49,人工智能导论,2020计科34班,理工一133,朱晓,Tes 9:00 - 11:00
50,单片机原理与应用,2020计科34班,崇师C306,穆全起,Tes 13:00 - 15:00
51,设计模式,2020计科34班,崇师C102,李玉霞,Thu 9:00 - 11:00
52,数字逻辑,2020计科34班,体育楼307,王洪侠,Fri 13:00 - 15:00
53,人工智能导论(实),2020计科34班,崇师C101,朱晓,Thu 13:00 - 15:00
54,web程序设计,2020计科56班,体育楼305,常晓娟,Thu 15:00 - 17:00
55,数据结构,2020计科56班,理工一126,魏洪伟,Fri 9:00 - 11:00
56,人工智能导论,2020计科56班,崇师B616,朱晓,Wed 9:00 - 11:00
57,单片机原理与应用,2020计科56班,理工一121,穆全起,Mon 13:00 - 15:00
58,设计模式,2020计科56班,理工一123,李玉霞,Tes 9:00 - 11:00
59,数字逻辑,2020计科56班,理工一519,王洪侠,Fri 15:00 - 17:00
60,人工智能导论(实),2020计科56班,崇师D502,朱晓,Thu 9:00 - 11:00
61,Python程序设计,2020软件工程12班,体育楼309,贺维,Mon 11:00 - 13:00
62,软件需求分析,2020软件工程12班,崇师C101,丁云鸿,Wed 9:00 - 11:00
63,web程序设计,2020软件工程12班,崇师C105,石哗琼,Thu 15:00 - 17:00
64,数据结构,2020软件工程12班,崇师C105,张明宇,Tes 9:00 - 11:00
65,web前端开发技术,2020软件工程12班,理工一431,林琳,Thu 11:00 - 13:00
66,web程序设计(实),2020软件工程12班,体育楼211,石哗琼,Mon 13:00 - 15:00
67,计算机系统基础,2020软件工程12班,理工一411,李晶,Tes 15:00 - 17:00
68,数据结构2,2020软件工程12班,崇师D502,张明宇,Fri 13:00 - 15:00
69,计算机系统基础2,2020软件工程12班,理工一523,李晶,Fri 15:00 - 17:00
70,Python程序设计,2020软件工程34班,理工一119,贺维,Thu 15:00 - 17:00
71,软件需求分析,2020软件工程34班,崇师C102,丁云鸿,Mon 15:00 - 17:00
72,web程序设计,2020软件工程34班,理工一519,石哗琼,Fri 13:00 - 15:00
73,数据结构,2020软件工程34班,崇师C105,张明宇,Mon 11:00 - 13:00
74,web前端开发技术,2020软件工程34班,理工一119,林琳,Wed 9:00 - 11:00
75,计算机系统基础,2020软件工程34班,体育楼309,李晶,Tes 13:00 - 15:00
76,数据结构2,2020软件工程34班,理工一519,张明宇,Fri 11:00 - 13:00
77,计算机系统基础2,2020软件工程34班,理工一117,李晶,Mon 13:00 - 15:00
78,数据库系统原理,2020物联网工程,崇师C104,付宝君,Tes 13:00 - 15:00
79,数据结构,2020物联网工程,崇师C306,周英,Tes 15:00 - 17:00
80,数字电子技术,2020物联网工程,体育楼209,倪蕴涛,Fri 9:00 - 11:00
81,物联网专业英语,2020物联网工程,崇师B616,赵国生,Tes 9:00 - 11:00
82,Python语言,2020物联网工程,理工一429,姜春茂,Fri 15:00 - 17:00
83,Python语言(实),2020物联网工程,崇师C104,姜春茂,Wed 9:00 - 11:00
84,数据库应用与开发1班,2020物联网工程,崇师C104,付宝君,Thu 11:00 - 13:00
85,数据库应用与开发2班,2020物联网工程,崇师C306,付宝君,Mon 11:00 - 13:00
86,SSH开发技术,2019计科软件方向,崇师C104,李红宇,Thu 9:00 - 11:00
87,编译原理,2019计科软件方向,崇师C105,朱晓,Mon 9:00 - 11:00
88,数据库设计与应用,2019计科软件方向,崇师D502,张广玲,Mon 13:00 - 15:00
89,UML统一建模,2019计科软件方向,崇师C105,刘月兰,Wed 11:00 - 13:00
90,操作系统,2019计科软件方向,理工一521,于丹,Tes 15:00 - 17:00
91,SSH开发技术,2019计科软件方向,崇师B616,李红宇,Tes 13:00 - 15:00
92,计算机网络1-8编译原理9-16,2019计科软件方向,理工一411,朱晓,Mon 15:00 - 17:00
93,UML统一建模,2019计科软件方向,理工一133,刘月兰,Thu 13:00 - 15:00
94,操作系统1-8&&数据库设计与应用,2019计科软件方向,崇师C103,于丹,Tes 11:00 - 13:00
95,单片机原理与应用,2019计科软件方向,理工一123,穆全起,Mon 11:00 - 13:00
96,计算机网络,2019计科软件方向,理工一119,王秀珍,Fri 9:00 - 11:00
97,操作系统,2019软件工程架构方向,崇师B415,伦立军,Mon 13:00 - 15:00
98,UML统一建模,2019软件工程架构方向,崇师D502,马宁,Wed 11:00 - 13:00
99,软件测试与质量保证,2019软件工程架构方向,理工一519,边奕心,Tes 13:00 - 15:00
100,移动终端应用开发基础,2019软件工程架构方向,体育楼307,李志聪,Mon 11:00 - 13:00
101,软件需求分析,2019软件工程架构方向,体育楼209,丁云鸿,Fri 13:00 - 15:00
102,软件测试与质量保证,2019软件工程架构方向,体育楼211,边奕心,Mon 15:00 - 17:00
103,操作系统,2019软件工程架构方向,理工一521,伦立军,Thu 11:00 - 13:00
104,个人级软件开发,2019软件工程架构方向,崇师B415,付伟,Fri 9:00 - 11:00
105,计算机组成原理1-8个人级软件开发9-16,2019软件工程架构方向,崇师C102,李晶,Thu 15:00 - 17:00
106,个人级软件开发,2019软件工程架构方向,崇师C103,房益龙,Tes 9:00 - 11:00
107,个人级软件开发,2019软件工程架构方向,崇师C104,于晓东,Fri 15:00 - 17:00
108,UML统一建模,2019软件工程互联方向,崇师C101,马宁,Fri 9:00 - 11:00
109,操作系统,2019软件工程互联方向,理工一133,伦立军,Thu 15:00 - 17:00
110,计算机组成原理,2019软件工程互联方向,崇师D502,李晶,Tes 9:00 - 11:00
111,移动终端应用开发基础,2019软件工程互联方向,理工一411,李志聪,Fri 13:00 - 15:00
112,软件测试与质量保证,2019软件工程互联方向,体育楼209,边奕心,Mon 9:00 - 11:00
113,软件测试与质量保证,2019软件工程互联方向,体育楼305,边奕心,Wed 11:00 - 13:00
114,软件需求分析,2019软件工程互联方向,崇师B616,丁云鸿,Fri 15:00 - 17:00
115,个人级软件开发,2019软件工程互联方向,崇师C101,林琳,Mon 11:00 - 13:00
116,个人级软件开发,2019软件工程互联方向,崇师B415,林琳,Tes 13:00 - 15:00
117,个人级软件开发,2019软件工程互联方向,理工一411,石哗琼,Wed 9:00 - 11:00
